time,flux
2018-07-01 00:00:00,2993.8936
2018-07-01 00:01:00,2981.324
2018-07-01 00:02:00,3031.2632
2018-07-01 00:03:00,2990.5334
2018-07-01 00:04:00,2821.3406
2018-07-01 00:05:00,2913.3748
2018-07-01 00:06:00,2809.0356
2018-07-01 00:07:00,2776.3792
2018-07-01 00:08:00,2800.0261
2018-07-01 00:09:00,2798.2773
2018-07-01 00:10:00,2735.104
2018-07-01 00:11:00,2731.5496
2018-07-01 00:12:00,2730.581
2018-07-01 00:13:00,2729.8364
2018-07-01 00:14:00,2662.733
2018-07-01 00:15:00,2766.7483
2018-07-01 00:16:00,2736.7378
2018-07-01 00:17:00,2734.657
2018-07-01 00:18:00,2660.9487
2018-07-01 00:19:00,2635.885
2018-07-01 00:20:00,2591.3367
2018-07-01 00:21:00,2552.9675
2018-07-01 00:22:00,2596.0054
2018-07-01 00:23:00,2592.0378
2018-07-01 00:24:00,2524.6042
2018-07-01 00:25:00,2589.6123
2018-07-01 00:26:00,2476.0208
2018-07-01 00:27:00,2452.003
2018-07-01 00:28:00,2479.5251
2018-07-01 00:29:00,2379.0908
2018-07-01 00:30:00,2357.1575
2018-07-01 00:31:00,2399.3801
2018-07-01 00:32:00,2408.1191
2018-07-01 00:33:00,2440.391
2018-07-01 00:34:00,2358.315
2018-07-01 00:35:00,2324.4565
2018-07-01 00:36:00,2321.469
2018-07-01 00:37:00,2352.2273
2018-07-01 00:38:00,2220.7354
2018-07-01 00:39:00,2320.7646
2018-07-01 00:40:00,2258.6104
2018-07-01 00:41:00,2273.7344
2018-07-01 00:42:00,2245.3123
2018-07-01 00:43:00,2164.2583
2018-07-01 00:44:00,2175.6296
2018-07-01 00:45:00,2193.7983
2018-07-01 00:46:00,2178.8037
2018-07-01 00:47:00,2250.8208
2018-07-01 00:48:00,2226.2117
2018-07-01 00:49:00,2153.7544
2018-07-01 00:50:00,2182.837
2018-07-01 00:51:00,2189.338
2018-07-01 00:52:00,2178.7932
2018-07-01 00:53:00,2087.2805
2018-07-01 00:54:00,2077.0596
2018-07-01 00:55:00,2067.1702
2018-07-01 00:56:00,2066.4446
2018-07-01 00:57:00,2048.2131
2018-07-01 00:58:00,2023.4878
2018-07-01 00:59:00,2066.1792
2018-07-01 01:00:00,1984.0948
2018-07-01 01:01:00,1997.496
2018-07-01 01:02:00,1997.1514
2018-07-01 01:03:00,1987.0928
2018-07-01 01:04:00,1994.6263
2018-07-01 01:05:00,1972.0117
2018-07-01 01:06:00,1978.7612
2018-07-01 01:07:00,1905.8301
2018-07-01 01:08:00,1902.397
2018-07-01 01:09:00,1861.1924
2018-07-01 01:10:00,1972.1589
2018-07-01 01:11:00,1881.962
2018-07-01 01:12:00,1830.965
2018-07-01 01:13:00,1856.0806
2018-07-01 01:14:00,1852.8763
2018-07-01 01:15:00,1828.51
2018-07-01 01:16:00,1782.7418
