time,flow_speed,proton_density,BZ_GSM,Pressure,E,SYM_H,AE_INDEX
2011-09-01 00:00:00,345.1,3.35,0.15,0.8,-0.05,5.0,30.0
2011-09-01 00:05:00,346.3,3.54,0.03,0.85,-0.01,5.0,30.0
2011-09-01 00:10:00,346.8,3.51,0.02,0.84,-0.01,5.0,31.0
2011-09-01 00:15:00,345.7,3.26,-0.06,0.78,0.02,6.0,32.0
2011-09-01 00:20:00,346.6,3.11,-0.12,0.75,0.04,6.0,31.0
2011-09-01 00:25:00,345.5,3.39,-0.29,0.81,0.1,8.0,57.0
2011-09-01 00:30:00,342.0,3.58,-0.55,0.84,0.19,8.0,54.0
2011-09-01 00:35:00,338.7,3.7,-0.67,0.85,0.23,6.0,40.0
2011-09-01 00:40:00,340.3,3.75,-0.57,0.87,0.19,6.0,48.0
2011-09-01 00:45:00,337.9,3.83,-0.71,0.87,0.2,5.0,37.0
2011-09-01 00:50:00,340.8,3.55,-0.82,0.82,0.28,4.0,32.0
2011-09-01 00:55:00,337.0,3.45,-0.78,0.78,0.27,4.0,29.0
2011-09-01 01:00:00,338.7,3.39,-0.56,0.78,0.19,3.0,27.0
2011-09-01 01:05:00,337.8,3.45,-0.56,0.79,0.19,2.0,25.0
2011-09-01 01:10:00,337.7,3.48,-0.55,0.79,0.18,2.0,25.0
2011-09-01 01:15:00,339.2,3.47,-0.57,0.8,0.2,3.0,29.0
2011-09-01 01:20:00,339.4,3.4,-0.84,0.78,0.3,3.0,29.0
2011-09-01 01:25:00,339.4,3.38,-0.99,0.78,0.33,3.0,31.0
2011-09-01 01:30:00,337.9,3.38,-0.85,0.77,0.29,3.0,34.0
2011-09-01 01:35:00,336.4,3.77,-0.87,0.86,0.32,3.0,34.0
2011-09-01 01:40:00,339.0,3.52,-1.07,0.81,0.36,3.0,34.0
2011-09-01 01:45:00,337.5,3.6,-1.17,0.82,0.4,2.0,32.0
2011-09-01 01:50:00,337.4,3.47,-1.18,0.79,0.4,2.0,26.0
2011-09-01 01:55:00,337.8,3.42,-0.78,0.78,0.26,2.0,27.0
2011-09-01 02:00:00,335.8,3.46,-0.58,0.78,0.19,2.0,28.0
2011-09-01 02:05:00,334.9,3.6,-0.91,0.81,0.3,1.0,26.0
2011-09-01 02:10:00,335.1,3.54,-1.47,0.8,0.49,2.0,32.0
2011-09-01 02:15:00,335.4,3.38,-1.51,0.76,0.5,2.0,32.0
2011-09-01 02:20:00,334.0,3.59,-1.46,0.8,0.49,2.0,36.0
2011-09-01 02:25:00,334.8,3.75,-1.47,0.84,0.48,2.0,36.0
2011-09-01 02:30:00,,,-1.52,,,1.0,36.0
2011-09-01 02:35:00,333.1,3.75,-1.38,0.83,0.48,1.0,33.0
2011-09-01 02:40:00,333.1,3.75,-1.49,0.83,0.49,1.0,32.0
2011-09-01 02:45:00,,,-1.48,,,1.0,29.0
2011-09-01 02:50:00,334.6,3.43,-1.31,0.77,0.43,1.0,30.0
2011-09-01 02:55:00,,,-1.34,,,1.0,32.0
2011-09-01 03:00:00,,,-1.36,,,1.0,33.0
2011-09-01 03:05:00,333.2,3.65,-1.39,0.81,0.47,1.0,37.0
2011-09-01 03:10:00,331.1,3.66,-1.46,0.8,0.54,1.0,39.0
2011-09-01 03:15:00,332.2,3.6,-1.62,0.79,0.54,1.0,41.0
